Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
CR-CONTRACOSTA PP/SUB 230KV,CR-BELLOTA-WARNERVILLE,CR-BELLOTA-WARNERVILLE,136602,System Maintenence,BELLOTA-RIVERBANK-MELONES,10013,115,004/030,005/036,Stockton,ST,L,3/27/2016,5/8/2016,3/27/2016,,,,5/8/2016 0:00:00,,,,,RS,T,2016,26,1.700000048,0,101,0,50,,1,"115,230,NERC",0,0
CR-Oleum Moeser,CR-Bellota-Warnerville,CR-BELLOTA-WARNERVILLE,132085,Orchard Maintenance,BELLOTA-WARNERVILLE,20007,230,000/004,021/146,Stockton,ST,,6/11/2016,12/3/2016,6/11/2016,,,,12/3/2016 0:00:00,,,,,OM,T,2016,0,0,0,900,0,,Orchards,1,"115,230,NERC",0,0
CR-SOBRANTE-SUB G,CR-Bellota-Warnerville,CR-BELLOTA-WARNERVILLE,132085,Orchard Maintenance,BELLOTA-RIVERBANK-MELONES,10013,115,000/004,003/023,Stockton,ST,,6/11/2016,12/3/2016,6/11/2016,,,,12/3/2016 0:00:00,,,,,OM,T,2016,0,0,0,900,0,,Orchards,1,"115,230,NERC",0,0
GREEN VALLEY-LLAGAS,CR-BELLOTA-WARNERVILLE,CR-BELLOTA-WARNERVILLE,136602,System Maintenence,Bellota Cottle,20233,230,010/070,011/077,Stockton,ST,L,3/27/2016,5/8/2016,3/27/2016,,,,5/8/2016 0:00:00,,,,,RS,T,2016,26,1.700000048,0,101,0,50,,1,"115,230,NERC",0,0
Kingsburg Cogen Tap,CR-Bellota-Warnerville,CR-BELLOTA-WARNERVILLE,132085,Orchard Maintenance,Cottle Melones,20234,230,019/136,019/142,Stockton,ST,,6/11/2016,12/3/2016,6/11/2016,,,,12/3/2016 0:00:00,,,,,OM,T,2016,0,0,0,900,0,,Orchards,1,"115,230,NERC",0,0
Moss Landing-Green Vly #1,CR-BELLOTA-WARNERVILLE,CR-BELLOTA-WARNERVILLE,136602,System Maintenence,Bellota Cottle,20233,230,012/083,019/127A,Stockton,ST,L,3/27/2016,5/8/2016,3/27/2016,,,,5/8/2016 0:00:00,,,,,RS,T,2016,26,1.700000048,0,101,0,50,,1,"115,230,NERC",0,0
Moss Landing-Panoche #2-CR,CR-Bellota-Warnerville,CR-BELLOTA-WARNERVILLE,132085,Orchard Maintenance,BELLOTA-RIVERBANK,10282,115,000/003,003/023,Stockton,ST,,6/11/2016,12/3/2016,6/11/2016,,,,12/3/2016 0:00:00,,,,,OM,T,2016,0,0,0,900,0,,Orchards,1,"115,230,NERC",0,0
Viejo-Monterey,CR-BELLOTA-WARNERVILLE,CR-BELLOTA-WARNERVILLE,136602,System Maintenence,Bellota Cottle,20233,230,007/047,007/051,Stockton,ST,L,3/27/2016,5/8/2016,3/27/2016,,,,5/8/2016 0:00:00,,,,,RS,T,2016,26,1.700000048,0,101,0,50,,1,"115,230,NERC",0,0
CR-Aerial Patrol,CR-Bellota-Weber,CR-BELLOTA-WEBER,132118,Orchard Maintenance,BELLOTA-WEBER,20008,230,000/001,014/095,Stockton,ST,S,1/16/2016,2/27/2016,1/16/2016,1/6/2016,,,2/27/2016 0:00:00,,,,,OM,T,2016,0,11.80000019,0,1029,0,,Orchards,1,"60,115,230,NERC",0,0
CR-Aerial Patrol,CR-BELLOTA-WEBER,CR-BELLOTA-WEBER,136614,System Maintenence,BELLOTA-WEBER,20008,230,000/001A,014/097A,Stockton,ST,S,2/27/2016,4/16/2016,2/27/2016,,,,4/16/2016 0:00:00,,,,,RS,T,2016,60.90000153,0,0,90,0,80,,1,"60,115,230,NERC",0,0
CR-Aerial Patrol,CR-Bellota-Weber,CR-BELLOTA-WEBER,132118,Orchard Maintenance,STOCKTON A-LCKFRD-BELLOTA #1,10322,115,000/005,012/084,Stockton,ST,S,1/16/2016,2/27/2016,1/16/2016,1/6/2016,,,2/27/2016 0:00:00,,,,,OM,T,2016,0,11.80000019,0,1029,0,,Orchards,1,"60,115,230,NERC",0,0
CR-Aerial Patrol,CR-BELLOTA-WEBER,CR-BELLOTA-WEBER,136614,System Maintenence,STOCKTON A-LCKFRD-BELLOTA #1,10322,115,000/001,014/95B,Stockton,ST,S,2/27/2016,4/16/2016,2/27/2016,,,,4/16/2016 0:00:00,,,,,RS,T,2016,60.90000153,0,0,90,0,80,,1,"60,115,230,NERC",0,0
CR-BELLOTA-WARNERVILLE,CR-Bellota-Weber,CR-BELLOTA-WEBER,132118,Orchard Maintenance,WEBER-MORMON JCT,60234,60,002/036,003/049,Stockton,ST,S,1/16/2016,2/27/2016,1/16/2016,1/6/2016,,,2/27/2016 0:00:00,,,,,OM,T,2016,0,11.80000019,0,1029,0,,Orchards,1,"60,115,230,NERC",0,0
CR-BELLOTA-WARNERVILLE,CR-BELLOTA-WEBER,CR-BELLOTA-WEBER,136614,System Maintenence,WEBER-MORMON JCT,60234,60,000/001,003/050,Stockton,ST,S,2/27/2016,4/16/2016,2/27/2016,,,,4/16/2016 0:00:00,,,,,RS,T,2016,60.90000153,0,0,90,0,80,,1,"60,115,230,NERC",0,0
CR-CONTRACOSTA PP/SUB 230KV,CR-Bellota-Weber,CR-BELLOTA-WEBER,132118,Orchard Maintenance,Bellota-Tesla #2,20006,230,000/006,011/081,Stockton,ST,S,1/16/2016,2/27/2016,1/16/2016,1/6/2016,,,2/27/2016 0:00:00,,,,,OM,T,2016,0,11.80000019,0,1029,0,,Orchards,1,"60,115,230,NERC",0,0
CR-Oleum Moeser,CR-BELLOTA-WEBER,CR-BELLOTA-WEBER,136614,System Maintenence,Bellota-Tesla #2,20006,230,000/001B,014/097A,Stockton,ST,S,2/27/2016,4/16/2016,2/27/2016,,,,4/16/2016 0:00:00,,,,,RS,T,2016,60.90000153,0,0,90,0,80,,1,"60,115,230,NERC",0,0
CR-STAGG-COUNTRY CLUB,CR-BELLOTA-WEBER,CR-BELLOTA-WEBER,136614,System Maintenence,STOCKTON A-LCKFRD-BELLOTA #2,10323,115,000/001,014/95B,Stockton,ST,S,2/27/2016,4/16/2016,2/27/2016,,,,4/16/2016 0:00:00,,,,,RS,T,2016,60.90000153,0,0,90,0,80,,1,"60,115,230,NERC",0,0
Thermal Energy 115kv Tap,CR-Bellota-Weber,CR-BELLOTA-WEBER,132118,Orchard Maintenance,STOCKTON A-LCKFRD-BELLOTA #2,10323,115,000/005,012/084,Stockton,ST,S,1/16/2016,2/27/2016,1/16/2016,1/6/2016,,,2/27/2016 0:00:00,,,,,OM,T,2016,0,11.80000019,0,1029,0,,Orchards,1,"60,115,230,NERC",0,0
Corcoran - Angiola,CR-Big Bend to Cresta,CR-Big Bend to Cresta,134647,System Maintenence,CRESTA-RIO OSO,20028,230,008/072,020/165,North Valley,NV,S,2/26/2016,4/11/2016,2/26/2016,,,,4/11/2016 0:00:00,,,,,RS,T,2016,0,36.74000168,0,85,0,40,230kv &115kv corrido,1,"115,230,NERC",0,0
CR-Colgate Nevada-LOC,CR-Big Bend to Cresta,CR-Big Bend to Cresta,134647,System Maintenence,POE-RIO OSO,20126,230,poe/phs,021/143,North Valley,NV,S,2/26/2016,4/11/2016,2/26/2016,,,,4/11/2016 0:00:00,,,,,RS,T,2016,0,36.74000168,0,85,0,40,230kv &115kv corrido,1,"115,230,NERC",0,0
CR-East ContraCosta,CR-Big Bend to Cresta,CR-Big Bend to Cresta,134647,System Maintenence,Caribou-Palermo,10391,115,026/216,big/bsub,North Valley,NV,S,2/26/2016,4/11/2016,2/26/2016,,,,4/11/2016 0:00:00,,,,,RS,T,2016,0,36.74000168,0,85,0,40,230kv &115kv corrido,1,"115,230,NERC",0,0
CR-Gilroy,CR-Big Bend to Cresta,CR-Big Bend to Cresta,134647,System Maintenence,ROCK CREEK-POE,20135,230,007/052,poe/phs,North Valley,NV,S,2/26/2016,4/11/2016,2/26/2016,,,,4/11/2016 0:00:00,,,,,RS,T,2016,0,36.74000168,0,85,0,40,230kv &115kv corrido,1,"115,230,NERC",0,0
CR-MI Oakland Newark,CR - Blasingame,CR-Blasingame,136914,System Maintenence,Helms-Gregg #1,20058,230,035/204,040/228,Fresno,FR,,3/1/2016,4/1/2016,3/1/2016,,,,4/1/2016 0:00:00,,,,,RS,T,2016,0,0,0,5,0,25,230kV/115kV/70kV,0,"70,115,230,NERC",0,0
CR-MI Stanislaus Livermore,CR - Blasingame,CR-Blasingame,136914,System Maintenence,Helms-Gregg #2,20059,230,035/204,040/228,Fresno,FR,,3/1/2016,4/1/2016,3/1/2016,,,,4/1/2016 0:00:00,,,,,RS,T,2016,0,0,0,5,0,25,230kV/115kV/70kV,0,"70,115,230,NERC",0,0
ESSEX JCT-ARCATA-FAIRHAVEN,CR - Blasingame,CR-Blasingame,136914,System Maintenence,KERCKHOFF-CLOVIS-SANGER #2,10116,115,006/046,011/067,Fresno,FR,,3/1/2016,4/1/2016,3/1/2016,,,,4/1/2016 0:00:00,,,,,RS,T,2016,0,0,0,5,0,25,230kV/115kV/70kV,0,"70,115,230,NERC",0,0
UKIAH-HOPLAND-CLOVERDALE,CR - Blasingame,CR-Blasingame,136914,System Maintenence,KERCKHOFF-CLOVIS-SANGER #1,10115,115,006/046,011/067,Fresno,FR,,3/1/2016,4/1/2016,3/1/2016,,,,4/1/2016 0:00:00,,,,,RS,T,2016,0,0,0,5,0,25,230kV/115kV/70kV,0,"70,115,230,NERC",0,0
Wright 70kv Tap,CR - Blasingame,CR-Blasingame,136914,System Maintenence,Wishon-Coppermine,70093,70,015/108,016/117,Fresno,FR,,3/1/2016,4/1/2016,3/1/2016,,,,4/1/2016 0:00:00,,,,,RS,T,2016,0,0,0,5,0,25,230kV/115kV/70kV,0,"70,115,230,NERC",0,0
Carquinez #2 115kv Tap,CR-BORDEN-COPPERMINE,CR-BORDEN-COPPERMINE,135191,Local Maintenance,IKG 70kv Tap,70008A,70,019/007,019/007A,Yosemite,YO,S,11/14/2016,12/26/2016,3/24/2016,,,,3/24/2016 0:00:00,,,,,RT,T,2016,19.93000031,0,0,0,0,20.93000031,60/70kV,0,70,0,0
CR-MORAGA SUB,CR-Borden-Coppermine,CR-BORDEN-COPPERMINE,132161,Orchard Maintenance,Borden-Coppermine,70008,70,sub/000,:19/014,Stockton,ST,S,12/19/2015,1/30/2016,12/1/2015,12/1/2015,12/1/2015,1/2/2016,1/2/2016 0:00:00,1/2/2016 0:00:00,,,,OM,T,2016,0,1.799999952,0,0,0,,Orchards,0,70,0,0
CR-MORAGA SUB,CR-BORDEN-COPPERMINE,CR-BORDEN-COPPERMINE,135191,Local Maintenance,Borden-Coppermine,70008,70,010/013,019/014B,Yosemite,YO,S,11/14/2016,12/26/2016,3/24/2016,,,,3/24/2016 0:00:00,,,,,RT,T,2016,19.93000031,0,0,0,0,20.93000031,60/70kV,0,70,0,0
GLASS-BIOLA-1,CR-BORDEN-COPPERMINE,CR-BORDEN-COPPERMINE,135191,Local Maintenance,Yancy 70kv Tap,70008B,70,000/000,000/005,Yosemite,YO,S,11/14/2016,12/26/2016,3/24/2016,,,,3/24/2016 0:00:00,,,,,RT,T,2016,19.93000031,0,0,0,0,20.93000031,60/70kV,0,70,0,0
CR-Brighton Clayton,CR-Brighton 115kv-NON-NERC,CR-Brighton 115kv,134775,System Maintenence,Brighton-Davis,10021,115,000/001,010/075,Sacramento,SA,S,12/10/2015,3/13/2016,1/1/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,44.09999847,0,0,100,0,20,,0,115,0,0
CR-Brighton Clayton,CR-Brighton 115kv-NON-NERC,CR-Brighton 115kv,134775,System Maintenence,BRIGHTON-GRAND ISLAND #1,10022,115,000/001,005/050,Sacramento,SA,S,12/10/2015,3/13/2016,1/1/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,44.09999847,0,0,100,0,20,,0,115,0,0
CR-Columbia Steel,CR-Brighton 115kv-NON-NERC,CR-Brighton 115kv,134775,System Maintenence,BRIGHTON-GRAND ISLAND #2,10023,115,000/001,005/050,Sacramento,SA,S,12/10/2015,3/13/2016,1/1/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,44.09999847,0,0,100,0,20,,0,115,0,0
CR Aerial Patrol 2,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,Fibreboard 115kv Tap,10039A,115,000/001,000/013,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
CR-Brighton Clayton,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,BRIGHTON-GRAND ISLAND #1,10022,115,043/324,043/324A,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
CR-Brighton Clayton,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,BRIGHTON-GRAND ISLAND #2,10023,115,043/324,043/324A,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
CR-MORAGA-OAKLAND,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,Brighton-Clayton #1,10019,115,044/335,051/386,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
CR-MORAGA-OAKLAND,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,Brighton-Clayton #2,10020,115,044/335,051/386,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
PG&E Tule - Springville,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,CONTRA COSTA #1,10038,115,004/028,CC/Sub,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
Schindler - Coalinga #2,CR-Brighton Clayton,CR-Brighton Clayton,134001,System Maintenence,CONTRA COSTA #2,10039,115,CC/Sub,043/324A,East Bay,EB,S,11/21/2015,1/26/2016,12/8/2015,,,,1/26/2016 0:00:00,,,,,RS,T,2016,0,14.30000019,0,135,0,28.28000069,,0,115,0,0
CR-Brighton Clayton,CR-Brighton-Grand Island,CR-Brighton Grand Island,132199,Orchard Maintenance,BRIGHTON-GRAND ISLAND #1,10022,115,000/001,043/324,Sacramento,SA,,11/12/2016,12/24/2016,11/12/2016,,,,12/24/2016 0:00:00,,,,,OM,T,2016,0,0,0,5,0,,Orchards,0,115,0,0
Moraga - Lakewood 115,CR-Brighton-Grand Island,CR-Brighton Grand Island,132199,Orchard Maintenance,BRIGHTON-GRAND ISLAND #2,10023,115,020/155,030/226,Sacramento,SA,,11/12/2016,12/24/2016,11/12/2016,,,,12/24/2016 0:00:00,,,,,OM,T,2016,0,0,0,5,0,,Orchards,0,115,0,0
CR-TESLA-LOS BANOS,CR-Browns Mountain,CR-Browns Mountain,135434,System Maintenence,TRINITY-COTTONWOOD,10340,115,tri/sub,041/003,North Valley,NV,S,9/2/2016,10/17/2016,9/2/2016,,,,10/17/2016 0:00:00,,,,,RS,T,2016,0,10.89999962,0,165,0,10,115kv&60kv corridor,0,"60,115",0,0
Fulton-Molino-Cotati,CR-Browns Mountain,CR-Browns Mountain,135434,System Maintenence,Keswick-Trinity-Weaverville,60122,60,tri/sub,025/409,North Valley,NV,S,9/2/2016,10/17/2016,9/2/2016,,,,10/17/2016 0:00:00,,,,,RS,T,2016,0,10.89999962,0,165,0,10,115kv&60kv corridor,0,"60,115",0,0
CR-Columbia Steel,CR-Brunswick-NON-NERC,CR-Brunswick,135066,System Maintenence,Brunswick #1 115kv Tap,10055B,115,000/001,007/050,Sierra,SI,S,12/29/2015,2/18/2016,1/15/2016,,,,2/18/2016 0:00:00,,,,,RS,T,2016,0,25,0,190,0,50,,0,115,0,0
CR-Columbia Steel,CR-Brunswick-NON-NERC,CR-Brunswick,135066,System Maintenence,Brunswick #2 115kv Tap,10056A,115,000/001,007/050,Sierra,SI,S,12/29/2015,2/18/2016,1/15/2016,,,,2/18/2016 0:00:00,,,,,RS,T,2016,0,25,0,190,0,50,,0,115,0,0
CR-Colusa-Cortina-LOC,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,PIT #3-ROUND MTN,20113,230,008/068,027/220a,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
CR-Colusa-Cortina-LOC,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,Pit#3 - Carberry Sw Sta 230 kv,20229,230,car/sub,016/128A,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
CR-ContraCosta Livermore,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,Carberry Sw Sta-Rnd Mtn 230 kv,20228,230,car/sub,016/128B,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
CR-Glen Vaca,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,PIT #1-COTTONWOOD,20111,230,011/090,027/220,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
CR-PITTSBURG-STONEMAN JCT,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,Burney Forest Products 230kv Tap,20111A,230,013/111,bur/sub,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
CR-South Sac NON-NERC,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,PIT #3-PIT #1,20112,230,011/089,008/068,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
New Hogan 60kv Tap,CR-Burney to Round Mtn,CR-Burney to Round Mtn,134627,System Maintenence,SPI (Burney) Tap,20112A,230,013/103,sie/sub,North Valley,NV,S,4/4/2016,5/18/2016,4/4/2016,,,,5/18/2016 0:00:00,,,,,RS,T,2016,0,32.86999893,0,120,0,35,230kv,1,"230,NERC",0,0
COOLEY LANDING-LOS ALTOS,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,RIO OSO-WOODLAND #1,10280,115,000/000,004/045,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-Beale AFB-LOC,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,Palermo-Nicolaus,10253,115,012/093,040/306H,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,PEASE-RIO OSO,10259,115,005/026,040/295,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-Howe,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,PALERMO-PEASE,10254,115,012/090,005/026,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-Moss Landng-Metcalf 500kV,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,Rio Oso-Nicolaus,10278,115,040/306I,040/306,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-SobranteStandard Oil,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,BOGUE-RIO OSO,10017,115,006/054B,040/306,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
CR-Vaca Sub-NON NERC,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,PALERMO-BOGUE,10252,115,012/093,006/54A,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
Metcalf-Morgan Hill,CR-Butte Cnty-Nicolaus Sub-NON-NERC,CR-Butte Cnty-Nicolaus Sub,136050,System Maintenence,RIO OSO-WOODLAND #2,10281,115,000/000,004/045,Sacramento,SA,S,5/4/2016,7/1/2016,5/4/2016,,,,7/1/2016 0:00:00,,,,,RS,T,2016,102.3000031,0,0,40,0,50,,0,115,0,0
Coalinga Cogen Tap,CR-Butte Cnty-Rio Oso Sub,CR-Butte Cnty-Rio Oso Sub,133632,System Maintenence,COLGATE-RIO OSO,20163,230,026/123A,052/233,Sacramento,SA,S,2/24/2016,6/4/2016,2/24/2016,,,,6/4/2016 0:00:00,,,,,RS,T,2016,39,0,0,45,0,90,NERC,1,"230,NERC",0,0
Corcoran - Guernsey,CR-Butte Cnty-Rio Oso Sub,CR-Butte Cnty-Rio Oso Sub,133632,System Maintenence,CRESTA-RIO OSO,20028,230,047/307,073/477,Sacramento,SA,S,2/24/2016,6/4/2016,2/24/2016,,,,6/4/2016 0:00:00,,,,,RS,T,2016,39,0,0,45,0,90,NERC,1,"230,NERC",0,0
CR-Aerial Patrol,CR-Butte Cnty-Rio Oso Sub,CR-Butte Cnty-Rio Oso Sub,133632,System Maintenence,Table Mtn-Rio Oso #2,20143,230,024/112,052/233,Sacramento,SA,S,2/24/2016,6/4/2016,2/24/2016,,,,6/4/2016 0:00:00,,,,,RS,T,2016,39,0,0,45,0,90,NERC,1,"230,NERC",0,0
CR-Aerial Patrol Sierra-NERC,CR-Butte Cnty-Rio Oso Sub,CR-Butte Cnty-Rio Oso Sub,133632,System Maintenence,POE-RIO OSO,20126,230,047/307,073/477,Sacramento,SA,S,2/24/2016,6/4/2016,2/24/2016,,,,6/4/2016 0:00:00,,,,,RS,T,2016,39,0,0,45,0,90,NERC,1,"230,NERC",0,0
CR-Vaca Sub-NON NERC,CR-Butte Cnty-Rio Oso Sub,CR-Butte Cnty-Rio Oso Sub,133632,System Maintenence,PALERMO-COLGATE,20108,230,026/123A,024/112,Sacramento,SA,S,2/24/2016,6/4/2016,2/24/2016,,,,6/4/2016 0:00:00,,,,,RS,T,2016,39,0,0,45,0,90,NERC,1,"230,NERC",0,0
CR Aerial Patrol 2,CR-Butte Crk-DSPH to Durham Jct,CR-Butte Creek Canyon,136119,Local Maintenance,Forks of the Butte,60065B,60,000/001C,000/001,North Valley,NV,S,5/13/2016,6/13/2016,5/13/2016,,,,6/13/2016 0:00:00,,,,,RT,T,2016,0,22,0,22,0,22,Centerville Sub to D,0,60,0,0
Helms - Gregg #2 - 1,CR-Butte Crk-DSPH to Durham Jct,CR-Butte Creek Canyon,136119,Local Maintenance,DESABLA-CENTERVILLE,60065,60,000/001C,005/079,North Valley,NV,S,5/13/2016,6/13/2016,5/13/2016,,,,6/13/2016 0:00:00,,,,,RT,T,2016,0,22,0,22,0,22,Centerville Sub to D,0,60,0,0
CR-Aerial Patrol Sierra-NERC,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,POE-RIO OSO,20126,230,047/308,031/208,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
CR-Colgate Nevada-LOC,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,POE-RIO OSO,20126,230,031/206,021/143,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
CR-East ContraCosta,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,Caribou-Palermo,10391,115,001/010,big/bsub,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
CR-Folsom,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,Paradise-Table Mtn. 115kV,10400,115,004/040,big/bsub,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
CR-Nicolaus-115kv-NON-NERC,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,PALERMO-WYANDOTTE,10385,115,000/009,004/040,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
CR-South Sac NERC,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,PALERMO-OROVILLE #2,60173,60,001/010,A04/042,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
Guernsey - Henrietta,CR-ButteCoLine to Big Bend,CR-ButteCoLine to Big Bend,135448,System Maintenence,CRESTA-RIO OSO,20028,230,028/225,020/165,North Valley,NV,,2/5/2016,4/18/2016,1/29/2016,12/31/2015,,,2/29/2016 0:00:00,,,,,RS,T,2016,0,0,92,200,0,80,"230kv,115kv&60kv cor",1,"60,115,230,NERC",0,0
