Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
CR - Kingsburg - Corcoran,Drum-Grass Valley-Weimar-LOC,DRUM-GRASS VALLEY-WEIMAR,134006,Local Maintenance,DRUM-GRASS VALLEY-WEIMAR,60070,60,B18/403,B25/580,Sierra,SI,S,11/15/2016,12/15/2016,11/15/2016,,,,12/15/2016 0:00:00,,,,,RT,T,2016,0,20,0,50,0,20,I80 Corridor,0,60,0,0
CR-Midway Hub,Dunlap Tap,Dunlap 70kv Tap,134548,Local Maintenance,Dunlap 70kv Tap,70066A,70,009/001,016/004,Fresno,FR,S,6/17/2016,7/6/2016,6/17/2016,,,,7/6/2016 0:00:00,,,,,RT,T,2016,0,16.27000046,0,10,0,16.27000046,70kV,0,70,0,0
Smyrna-Semitropic-Midway,Eel River 60kv Tap,Eel River 60kv Tap,133383,Local Maintenance,Eel River 60kv Tap,60105A,60,000/001,SUB/SUB,North Coast,NC,S,12/9/2015,1/26/2016,12/11/2015,12/11/2015,12/11/2015,12/11/2015,12/11/2015 0:00:00,12/11/2015 0:00:00,,,,RT,T,2016,0,9,0,0,0,2.299999952,Lotus Blue Butterfly,0,60,0,0
Copus Old River,El Peco 70kv Tap,El Peco 70kv Tap,134703,Local Maintenance,El Peco 70kv Tap,70060B,70,000/000,000/000,Yosemite,YO,S,11/14/2016,12/26/2016,3/24/2016,,,,3/24/2016 0:00:00,,,,,RT,T,2016,0,3.019999981,0,0,0,3.019999981,70kV,0,70,0,0
Arco-Tulare Lake,Elk Creek 60kv Tap,Elk Creek 60kv Tap,132034,Orchard Maintenance,Elk Creek 60kv Tap,60087A,60,000/009,015/174,North Valley,NV,S,4/23/2016,11/26/2016,4/23/2016,,,,11/26/2016 0:00:00,,,,,OM,T,2016,0,0,0,1,0,,Orchards,0,60,0,0
CR-Kern Live Oak,Elk Creek 60kv Tap-1,Elk Creek 60kv Tap,136585,Local Maintenance,Elk Creek 60kv Tap,60087A,60,020/004,swi/055,North Valley,NV,S,8/15/2016,9/15/2016,8/15/2016,,,,9/15/2016 0:00:00,,,,,RT,T,2016,0,20.53000069,0,11,0,20.53000069,Logan Creek to Elk C,0,60,0,0
CR-Kern Live Oak,Elk Creek 60kv Tap-1,Elk Creek 60kv Tap,136585,Local Maintenance,Elk Creek 60kv Tap,60087A,60,036/003,elk/sub,North Valley,NV,S,8/15/2016,9/15/2016,8/15/2016,,,,9/15/2016 0:00:00,,,,,RT,T,2016,0,20.53000069,0,11,0,20.53000069,Logan Creek to Elk C,0,60,0,0
CR Wheeler Ridge-Lamont,ELK-GUALALA,ELK-GUALALA,133720,Local Maintenance,ELK-GUALALA,60244,60,SUB/SUB,SUB/SUB,North Coast,NC,S,9/8/2016,10/26/2016,9/8/2016,,,,10/26/2016 0:00:00,,,,,RT,T,2016,0,29,0,120,0,29.04999924,,0,60,0,0
CR Wheeler Ridge-Lamont,Ellis 115kv Tap,Ellis 115kv Tap,134674,System Maintenence,Ellis 115kv Tap,10338A,115,036/242,000/008,Stockton,ST,S,7/16/2016,8/27/2016,7/16/2016,,,,8/27/2016 0:00:00,,,,,RS,T,2016,0,0.25,0,1,0,1,,0,115,0,0
CR KE HCP MBZ 2602,ESSEX JCT-ARCATA-FAIRHAVEN,ESSEX JCT-ARCATA-FAIRHAVEN,133339,Local Maintenance,ESSEX JCT-ARCATA-FAIRHAVEN,60074,60,000/000,999/999,North Coast,NC,L,10/17/2016,12/6/2016,10/17/2016,,,,12/6/2016 0:00:00,,,,,RT,T,2016,20,0,0,180,0,15.96000004,Lotus Blue Butterfly,0,60,0,0
CR KE HCP MBZ 2602,ESSEX JCT-ARCATA-FAIRHAVEN,ESSEX JCT-ARCATA-FAIRHAVEN,133339,Local Maintenance,ESSEX JCT-ARCATA-FAIRHAVEN,60074,60,000/001,004/006,North Coast,NC,L,10/17/2016,12/6/2016,10/17/2016,,,,12/6/2016 0:00:00,,,,,RT,T,2016,20,0,0,180,0,15.96000004,Lotus Blue Butterfly,0,60,0,0
CR KE HCP MBZ 2602,Essex Jct-Orick,Essex Jct-Orick,134956,Local Maintenance,Essex Jct-Orick,60075,60,000/001,SUB/SUB,North Coast,NC,S,5/9/2016,6/23/2016,5/9/2016,,,,6/23/2016 0:00:00,,,,,RT,T,2016,0,45,0,229,0,33.29000092,,0,60,0,0
CR KE HCP MBZ 2602,Eureka-Sta. A,Eureka-Sta. A,133916,Local Maintenance,Eureka-Sta. A,60076,60,SUB/SUB,SUB/SUB,North Coast,NC,L,7/22/2016,9/12/2016,7/22/2016,,,,9/12/2016 0:00:00,,,,,RT,T,2016,1,0,0,1,0,0.219999999,Lotus Blue Butterfly,0,60,0,0
CR KE HCP MBZ 2602,Exchequer-Le Grande,Exchequer-Le Grande,132148,Orchard Maintenance,Exchequer-Le Grande,10070,115,024/001,028/004,Stockton,ST,S,11/21/2015,2/16/2016,11/17/2015,11/17/2015,11/17/2015,12/16/2015,2/16/2016 0:00:00,,,,,OM,T,2016,0,2,12,12,0,,Orchards,0,115,0,0
CR KE HCP MBZ 2602,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,000/001,005/003,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
CR KE HCP MBZ 2602,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,006/005,007/000,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
CR KE HCP MBZ 2602,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,007/007,007/009,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
CR KE HCP MBZ 2602,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,010/003,011/008,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
Kern-Magunden-Witco,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,011/009,012/003,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
Kern-Magunden-Witco,Exchequer-Le Grande,Exchequer-Le Grande,136617,System Maintenence,Exchequer-Le Grande,10070,115,016/009,045/013,Stockton,ST,S,8/13/2016,9/24/2016,8/13/2016,,,,9/24/2016 0:00:00,,,,,RS,T,2016,0,19.70000076,0,2,0,20,,0,115,0,0
CR-Caltrans Transmission 2,Exchequer-Mariposa-60/70kv,Exchequer-Mariposa,135599,Local Maintenance,Exchequer-Mariposa,70023,70,000/001,019/004,Yosemite,YO,S,5/16/2016,6/27/2016,3/20/2016,,,,3/31/2016 0:00:00,,,,,RT,T,2016,0,19.5,0,1,0,19.5,,0,70,0,0
CR Aerial Patrol 2,Exchequer-Yosemite-60/70kv,Exchequer-Yosemite,134689,Local Maintenance,Exchequer-Yosemite,70024,70,032/178,040/244,Yosemite,YO,S,8/15/2016,9/26/2016,4/7/2016,,,,5/6/2016 0:00:00,,,,,RT,T,2016,0,35.20000076,0,31,0,35.20000076,,0,70,0,0
CR-Caltrans Transmission 2,Exchequer-Yosemite-60/70kv,Exchequer-Yosemite,134689,Local Maintenance,Exchequer-Yosemite,70024,70,000/001,013/042,Yosemite,YO,S,8/15/2016,9/26/2016,4/7/2016,,,,5/6/2016 0:00:00,,,,,RT,T,2016,0,35.20000076,0,31,0,35.20000076,,0,70,0,0
CR-Caltrans Transmission 2,Exchequer-Yosemite-60/70kv,Exchequer-Yosemite,134689,Local Maintenance,Exchequer-Yosemite,70024,70,013/047,022/085A,Yosemite,YO,S,8/15/2016,9/26/2016,4/7/2016,,,,5/6/2016 0:00:00,,,,,RT,T,2016,0,35.20000076,0,31,0,35.20000076,,0,70,0,0
CR Aerial Patrol 2,FAIRHAVEN #1,FAIRHAVEN #1,134744,Local Maintenance,FAIRHAVEN #1,60079,60,000/000,999/999,North Coast,NC,S,4/29/2016,6/15/2016,4/29/2016,,,,6/15/2016 0:00:00,,,,,RT,T,2016,1,0,0,1,0,0.25,,0,60,0,0
CR Aerial Patrol 2,FAIRHAVEN #1,FAIRHAVEN #1,134744,Local Maintenance,FAIRHAVEN #1,60079,60,SUB/SUB,000/008,North Coast,NC,S,4/29/2016,6/15/2016,4/29/2016,,,,6/15/2016 0:00:00,,,,,RT,T,2016,1,0,0,1,0,0.25,,0,60,0,0
CR Aerial Patrol 2,Fairhaven Power Co. 60kv Tap,Fairhaven Power Co. 60kv Tap,135553,Local Maintenance,Fairhaven Power Co. 60kv Tap,60079C,60,000/001,000/007,North Coast,NC,S,4/28/2016,6/14/2016,4/28/2016,,,,6/14/2016 0:00:00,,,,,RT,T,2016,0,0.5,0,1,0,0.409999996,,0,60,0,0
CR Aerial Patrol 2,FAIRHAVEN-HUMBOLDT,FAIRHAVEN-HUMBOLDT,135125,Local Maintenance,FAIRHAVEN-HUMBOLDT,60080,60,000/001,SUB/SUB,North Coast,NC,L,11/14/2016,12/30/2016,11/14/2016,,,,12/30/2016 0:00:00,,,,,RT,T,2016,22,0,0,90,0,15.21000004,Lotus Blue Butterfly,0,60,0,0
CR Aerial Patrol 2,FAIRHAVEN-HUMBOLDT,FAIRHAVEN-HUMBOLDT,135125,Local Maintenance,FAIRHAVEN-HUMBOLDT,60080,60,000/010,005/011,North Coast,NC,L,11/14/2016,12/30/2016,11/14/2016,,,,12/30/2016 0:00:00,,,,,RT,T,2016,22,0,0,90,0,15.21000004,Lotus Blue Butterfly,0,60,0,0
