LATITUDE,LONGITUDE,X,Y,Z,PRIORITY,REGION,DIVISION_ID,TREE_COMMENTS,ROLE_TYPE,INSPECTOR_COMPANY,INSPECT_DATE,CUSTOMER_NOTIFICATION_ID,ALERT_ID,TRIM_CODE,INSPECT_WO_NUMBER,TRIM_WO_NUMBER,SPAN_NBR,TREEID,LINE_NAME,LINE_NBR,TREE_TYPE,STREET_NUM,STREET,CITY_ID,COUNTY_ID,DISPATCHR_ID
38.607631963905284,-121.48764335785972,-121.48764335785972,38.607631963905284,,N,SA,SA,,PI,ACR,2016-02-04T22:04:42.114Z,N,,,569fc75d725255882d4bfcbe,,142,E121487643N38607631,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75d725255882d4bfcb8
38.60762271975328,-121.48738498237661,-121.48738498237661,38.60762271975328,,N,SA,SA,,PI,ACR,2016-02-08T18:48:25.361Z,N,,,569fc75d725255882d4bfcce,,142,E121487384N38607622,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75d725255882d4bfccc
38.60744057018537,-121.48635364623836,-121.48635364623836,38.60744057018537,,N,SA,SA,,PI,ACR,2016-02-08T18:51:36.954Z,N,,,569fc75e725255882d4bfcd7,,135,E121486353N38607440,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfcd1
38.607514072191215,-121.48649435919037,-121.48649435919037,38.607514072191215,,N,SA,SA,,PI,ACR,2016-02-08T18:51:44.263Z,N,,,569fc75e725255882d4bfcd7,,135,E121486494N38607514,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfcd3
38.607463857906836,-121.4861991829373,-121.4861991829373,38.607463857906836,,N,SA,SA,,PI,ACR,2016-02-08T19:03:06.211Z,N,,,569fc75e725255882d4bfcee,,135,E121486199N38607463,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfce6
38.60748573182033,-121.48611636700889,-121.48611636700889,38.60748573182033,,N,SA,SA,,PI,ACR,2016-02-08T19:03:17.612Z,N,,,569fc75e725255882d4bfcee,,135,E121486116N38607485,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfce8
38.60740185069451,-121.4862541527155,-121.4862541527155,38.60740185069451,,N,SA,SA,,PI,ACR,2016-02-08T19:03:33.085Z,N,,,569fc75e725255882d4bfcee,,135,E121486254N38607401,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfcea
38.60745138623737,-121.48611153973101,-121.48611153973101,38.60745138623737,,N,SA,SA,,PI,ACR,2016-02-08T19:05:50.338Z,N,,,569fc75e725255882d4bfcee,,135,E121486111N38607451,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75e725255882d4bfcec
38.60745811334049,-121.4854373037503,-121.4854373037503,38.60745811334049,,N,SA,SA,,PI,ACR,2016-02-08T22:03:26.644Z,N,,,569fc75f725255882d4bfd09,,135,E121485437N38607458,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75f725255882d4bfcfd
38.607460108972035,-121.48552169741083,-121.48552169741083,38.607460108972035,,N,SA,SA,,PI,ACR,2016-02-08T22:03:44.833Z,N,,,569fc75f725255882d4bfd09,,135,E121485521N38607460,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75f725255882d4bfd00
38.60736967840925,-121.4844705289218,-121.4844705289218,38.60736967840925,,R,SA,SA,,PI,ACR,2016-02-10T21:09:57.625Z,O,,SD,569fc760725255882d4bfd20,,135,E121484470N38607369,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc760725255882d4bfd1a
38.60737974887867,-121.48450580167362,-121.48450580167362,38.60737974887867,,N,SA,SA,,PI,ACR,2016-02-10T21:09:49.723Z,N,,,569fc760725255882d4bfd20,,135,E121484505N38607379,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc760725255882d4bfd1e
38.6070185501568,-121.50160106173824,-121.50160106173824,38.6070185501568,,N,SA,SA,,PI,ACR,2016-02-08T17:22:30.886Z,N,,,569fc760725255882d4bfd32,,188,E121501601N38607018,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc760725255882d4bfd2c
38.60706823916419,-121.50096695024818,-121.50096695024818,38.60706823916419,,N,SA,SA,,PI,ACR,2016-02-08T17:29:29.392Z,N,,,569fc761725255882d4bfd3e,,177,E121500966N38607068,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc761725255882d4bfd38
38.607113635001994,-121.5009426261622,-121.5009426261622,38.607113635001994,,N,SA,SA,,PI,ACR,2016-02-08T17:29:29.392Z,N,,,569fc761725255882d4bfd3e,,177,E121500942N38607113,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc761725255882d4bfd3a
38.607257203880394,-121.48595899421184,-121.48595899421184,38.607257203880394,,R,SA,SA,,PI,ACR,2016-02-08T19:20:13.422Z,O,,R2D,569fc766725255882d4bfdef,,135,E121485958N38607257,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc766725255882d4bfde7
38.60727284802981,-121.48599433141898,-121.48599433141898,38.60727284802981,,R,SA,SA,,PI,ACR,2016-02-08T19:21:56.835Z,O,,R1C,569fc766725255882d4bfdef,,135,E121485994N38607272,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc766725255882d4bfdeb
38.60728188594888,-121.48563640349204,-121.48563640349204,38.60728188594888,,R,SA,SA,,PI,ACR,2016-02-08T21:51:22.446Z,O,,td,569fc767725255882d4bfe04,,135,E121485636N38607281,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc766725255882d4bfdf6
38.60727313238626,-121.4852052193466,-121.4852052193466,38.60727313238626,,R,SA,SA,,PI,ACR,2016-02-08T21:58:15.928Z,O,,R2C,569fc767725255882d4bfe04,,135,E121485205N38607273,DEEPWATER_1_TAP,10350A,PECA,,,,,569fc766725255882d4bfdf8
38.60727595507744,-121.48557467976065,-121.48557467976065,38.60727595507744,,R,SA,SA,,PI,ACR,2016-02-08T21:58:38.289Z,O,,R2C,569fc767725255882d4bfe04,,135,E121485574N38607275,DEEPWATER_1_TAP,10350A,PECA,,,,,569fc766725255882d4bfdfa
38.60720527710908,-121.48516129918826,-121.48516129918826,38.60720527710908,,R,SA,SA,,PI,ACR,2016-02-08T21:59:03.002Z,O,,R1C,569fc767725255882d4bfe04,,135,E121485161N38607205,DEEPWATER_1_TAP,10350A,PECA,,,,,569fc767725255882d4bfe00
38.60723588749189,-121.48548093616394,-121.48548093616394,38.60723588749189,,N,SA,SA,,PI,ACR,2016-02-08T22:01:40.068Z,N,,R2C,569fc767725255882d4bfe04,,135,E121485480N38607235,DEEPWATER_1_TAP,10350A,PECA,,,,,569fc767725255882d4bfe02
38.607247043,-121.48495495,-121.48495495,38.607247043,,R,SA,SA,,PI,ACR,2016-02-08T22:51:06.831Z,O,,SD,569fc768725255882d4bfe2a,,,56b91b5641788a88706c98c6,DEEPWATER_1_TAP,10350A,COTB,,,,,56b91b5641788a88706c98c6
